Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
AAG;AAGES S.A.;ROAAGEACNOR7;S.C AAGES S.A.;1196550;10000000;0.2000;2711;MURES;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ALR;ALRO S.A.;ROALROACNOR0;ALRO S.A.;1515374;713779135;0.5000;2442;OLT;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
ALT;ALTUR S.A.;ROALTCACNOR1;ALTUR S.A.;1520249;824388338;0.1000;2932;OLT;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ALU;ALUMIL ROM INDUSTRY S.A.;ROALUMACNOR8;ALUMIL ROM INDUSTRY S.A.;10042631;31250000;0.2000;4672;BUCURESTI;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ARM;ARMATURA S.A.;ROARMAACNOR7;ARMATURA S.A.;199001;40000000;0.1000;2814;CLUJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ARS;AEROSTAR S.A.;ROAEROACNOR5;AEROSTAR S.A.;950531;152277450;0.3200;3030;BACAU;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ARTE;ARTEGO SA;ROARTEACNOR4;ARTEGO SA;2157428;8956165;2.5000;2219;GORJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ATB;ANTIBIOTICE S.A.;ROATBIACNOR9;ANTIBIOTICE S.A.;1973096;671338040;0.1000;2110;IASI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM1
BCM;CASA DE BUCOVINA-CLUB DE MUNTE;ROBUCMACNOR5;CASA DE BUCOVINA-CLUB DE MUNTE;10376500;162319412;0.1000;5510;SUCEAVA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
BIO;BIOFARM S.A.;ROBIOFACNOR9;BIOFARM S.A.;341563;985375350;0.1000;2120;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM1
BNET;BITTNET SYSTEMS SA BUCURESTI;ROBNETACNOR1;BITTNET SYSTEMS SA;21181848;229049725;0.1000;6202;BUCURESTI;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
BRD;BRD - GROUPE SOCIETE GENERALE S.A.;ROBRDBACNOR2;BRD - GROUPE SOCIETE GENERALE S.A.;361579;696901518;1.0000;6419;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM3
BRK;SSIF BRK FINANCIAL GROUP SA;ROBRKOACNOR0;SSIF BRK FINANCIAL GROUP SA;6738423;337749919;0.1600;6612;CLUJ;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
BRM;BERMAS S.A.;ROBEMAACNOR3;BERMAS S.A.;723636;21553049;0.7000;1105;SUCEAVA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
BVB;BURSA DE VALORI BUCURESTI SA;ROBVBAACNOR0;BURSA DE VALORI BUCURESTI SA;17777754;8049246;10.0000;6611;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
CAOR;SIF HOTELURI SA;ROCAORACNOR9;SIF HOTELURI SA;56150;32142441;2.5000;5630;BIHOR;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
CBC;CARBOCHIM S.A.;ROCBCHACNOR3;CARBOCHIM S.A.;201535;4930175;2.5000;2391;CLUJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
CEON;CEMACON SA;ROCEONACNOR0;CEMACON SA;677858;505653533;0.1000;2332;CLUJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
CMCM;COMCM SA CONSTANTA;ROCMCMACNOR0;COMCM SA CONSTANTA;1868287;236316678;0.1000;2363;CONSTANTA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
CMF;COMELF S.A.;ROCMBFACNOR6;COMELF S.A.;568656;22476423;0.5800;2892;BISTRITA-NASAUD;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
CMP;COMPA S. A.;ROCMPSACNOR9;COMPA S. A.;788767;218821038;0.1000;2932;SIBIU;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
CNTE;CONTED SA;ROCNTEACNOR9;CONTED SA;622445;239702;9.5300;1413;BOTOSANI;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
COMI;CONDMAG S.A.;ROCOMIACNOR3;CONDMAG S.A.;1100008;381335751;0.1000;4221;BRASOV;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
COS;COS TARGOVISTE S.A.;ROCOSUACNOR5;COS TARGOVISTE S.A.;913720;68850123;2.5000;2410;DAMBOVITA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
COTE;CONPET SA;ROCOTEACNOR7;CONPET SA;1350020;8657528;3.3000;4950;PRAHOVA;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
COTR;TRANSILVANIA CONSTRUCTII SA;ROCOTRACNOR9;TRANSILVANIA CONSTRUCTII SA;199044;799751;33.0000;6820;CLUJ;RO;BSE;REGS;Standard;Suspended;Continuous trading;shareM1
DAFR;DAFORA SA;RODAFRACNOR5;DAFORA SA;7203436;1002323294;0.1000;0910;SIBIU;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
DIGI;Digi Communications N.V.;NL0012294474;Digi Communications N.V.;808800322;100000000;-;-;-;NL;BSE;REGS;Int'l;Tradeable;Continuous trading;shareM2
EBS;Erste Group Bank AG;AT0000652011;Erste Group Bank AG;15361506;429800000;-;6419;-;AT;BSE;REGS;Int'l;Tradeable;Continuous trading;shareM5
ECT;GRUPUL INDUSTRIAL ELECTROCONTACT S.A.;ROELBOACNOR6;GRUPUL INDUSTRIAL ELECTROCONTACT S.A.;607321;145000000;0.1000;2712;BOTOSANI;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
EFO;TURISM, HOTELURI, RESTAURANTE MAREA NEAGRA S.A.;ROEFRIACNOR6;TURISM, HOTELURI, RESTAURANTE MAREA NEAGRA S.A.;2980547;578949939;0.1000;5510;CONSTANTA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
EL;SOCIETATEA ENERGETICA ELECTRICA S.A.;ROELECACNOR5;SOCIETATEA ENERGETICA ELECTRICA S.A.;13267221;346443597;10.0000;7022;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
ELGS;ELECTROARGES SA;ROELGSACNOR6;ELECTROARGES SA CURTEA DE ARGES;156027;69764650;0.1000;2751;ARGES;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ELJ;ELECTROAPARATAJ S.A.;ROELJBACNOR6;ELECTROAPARATAJ S.A.;51;46676889;0.1000;2712;DAMBOVITA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
ELMA;ELECTROMAGNETICA SA;ROELMAACNOR2;ELECTROMAGNETICA SA;414118;676038704;0.1000;2651;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM1
ENP;COMPANIA ENERGOPETROL S.A.;ROENPCACNOR7;COMPANIA ENERGOPETROL S.A.;1323700;2024655;2.5000;4321;PRAHOVA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
EPT;ELECTROPUTERE S.A.;ROELPUACNOR3;ELECTROPUTERE S.A.;6312800;1037602913;0.1000;2711;DOLJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
FP;FONDUL PROPRIETATEA;ROFPTAACNOR5;FONDUL PROPRIETATEA;18253260;7210158254;0.5200;6430;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
IARV;IAR SA Brasov;ROIARVACNOR1;IAR SA Brasov;1132930;18878853;2.5000;3030;BRASOV;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
IMP;IMPACT DEVELOPER & CONTRACTOR S.A.;ROIMPCACNOR0;IMPACT DEVELOPER & CONTRACTOR S.A.;1553483;265000000;1.0000;4110;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM1
M;MedLife S.A.;ROMEDLACNOR6;Med Life S.A.;8422035;22145082;0.2500;8622;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
MCAB;ROMCAB SA;ROMCABACNOR7;ROMCAB SA;7947193;9386066;2.5000;2731;MURES;RO;BSE;REGS;Standard;Suspended;Continuous trading;shareM1
MECE;MECANICA FINA SA;ROMECEACNOR3;MECANICA FINA SA;655;3705956;2.5000;2651;BUCURESTI;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
MECF;MECANICA CEAHLAU;ROMECFACNOR0;MECANICA CEAHLAU;2045262;239908460;0.1000;2830;NEAMT;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
NAPO;SOCIETATEA DE CONSTRUCTII NAPOCA SA;RONAPOACNOR0;SOCIETATEA DE CONSTRUCTII NAPOCA SA;199117;6231454;1.0000;4120;CLUJ;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
OIL;OIL TERMINAL S.A.;ROOILTACNOR9;OIL TERMINAL S.A.;2410163;582430253;0.1000;5224;CONSTANTA;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM2
PBK;PATRIA BANK S.A.;ROBACRACNOR6;PATRIA BANK S.A.;11447021;3115330575;0.1000;6419;BUCURESTI;RO;BSE;REGS;Premium;Tradeable;Continuous trading;shareM2
PPL;PROMATERIS S.A.;ROPRLAACNOR7;PROMATERIS S.A.;108;17072385;1.0000;2229;Ilfov;RO;BSE;REGS;Standard;Tradeable;Continuous trading;shareM1
